Offering,Pricing Date,Price,Symbol,Deal Type,Bookrunner
Anteris Technologies Global Corp,2024-12-12,$6.00,AVR,IPO,"TD Cowen, Barclays, Cantor Fitzgerald TD Cowen"
"Amer Sports, Inc.",2024-12-04,$23.00,AS,ADD-ON,"BofA Merrill Lynch, JP Morgan Evercore ISI"
"zSpace, Inc.",2024-12-04,$5.00,ZSPC,IPO,"Roth Capital, Northland Capital Markets Roth Capital"
Brazil Potash Corp.,2024-11-26,$15.00,GRO,IPO,"Cantor Fitzgerald, Bradesco BBI Cantor Fitzgerald"
"OneStream, Inc.",2024-11-14,$31.00,OS,ADD-ON,"Morgan Stanley, Goldman Sachs, KKR KKR"
"Vera Therapeutics, Inc.",2024-10-29,$42.00,VERA,ADD-ON,"JP Morgan, Goldman Sachs, Evercore ISI, Cantor Evercore ISI"
"Septerna, Inc.",2024-10-24,$18.00,SEPN,IPO,"JP Morgan, TD Cowen, Cantor, Wells Fargo Cantor Fitzgerald"
Ingram Micro Holding Corp,2024-10-23,$22.00,INGM,IPO,"Morgan Stanley, Goldman Sachs, JP Morgan Evercore ISI"
"KinderCare Learning Companies, Inc.",2024-10-08,$24.00,KLC,IPO,"Goldman Sachs, Morgan Stanley BMO Capital Markets"
BingEx Limited,2024-10-03,$16.50,FLX,IPO,"Deutsche Bank, CICC, CLSA Deutsche Bank"
"Chain Bridge Bancorp, Inc.",2024-10-03,$22.00,CBNA,IPO,"Piper Sandler, Raymond James, Hovde Group Piper Sandler"
"The Pennant Group, Inc.",2024-10-02,$31.00,PNTG,ADD-ON,"Citigroup, Truist Securities Truist Securities"
"StandardAero, Inc.",2024-10-01,$24.00,SARO,IPO,"JP Morgan, Morgan Stanley Santander"
Wave Life Sciences Ltd.,2024-09-25,$8.00,WVE,ADD-ON,"JP Morgan, Leerink Partners Truist Securities"
BKV Corporation,2024-09-25,$18.00,BKV,IPO,"Citigroup, Barclays, Evercore ISI, Jefferies, Mizuho Evercore ISI"
"Guardian Pharmacy Services, Inc.",2024-09-25,$14.00,GRDN,IPO,"Raymond James, Stephens Inc., Truist Securities Truist Securities"
Ascendis Pharma A/S,2024-09-19,$150.00,ASND,ADD-ON,"JP Morgan, Morgan Stanley, Evercore ISI, Goldman Sachs Evercore ISI"
"Bicara Therapeutics, Inc.",2024-09-12,$18.00,BCAX,IPO,"Morgan Stanley, TD Cowen, Cantor, Stifel Cantor Fitzgerald"
"PACS Group, Inc.",2024-09-05,$36.25,PACS,ADD-ON,"Citigroup, JP Morgan, Truist Securities Truist Securities"
"Life Time Group Holdings, Inc.",2024-08-12,$21.75,LTH,ADD-ON,"Morgan Stanley, BofA Merrill Lynch, Deutsche Bank, Wells Fargo Evercore ISI"
LATAM Airlines Group S.A.,2024-07-24,$24.00,LTM,ADD-ON,"Citigroup, Santander, JP Morgan Santander"
"Concentra Group Holdings Parent, Inc.",2024-07-24,$23.50,CON,IPO,"JP Morgan, Goldman Sachs, BofA Merrill Lynch Truist Securities"
"Lineage, Inc.",2024-07-24,$78.00,LINE,IPO,"Morgan Stanley, Goldman Sachs, BofA Merrill Lynch, JP Morgan, Wells Fargo Truist Securities"
"OneStream, Inc.",2024-07-23,$20.00,OS,IPO,"Morgan Stanley, JP Morgan, KKR KKR"
"Artiva Biotherapeutics, Inc.",2024-07-18,$12.00,ARTV,IPO,"Jeffries, TD Cowen, Cantor, Wedbush PacGrow, Needham & Company Jefferies"
"Ardent Health Partners, LLC",2024-07-17,$16.00,ARDT,IPO,"JP Morgan, BofA Merrill Lynch, Morgan Stanley Truist Securities"
Alumis Inc.,2024-06-28,$16.00,ALMS,IPO,"Morgan Stanley, Leerink Partners, Cantor, Guggenheim Securities Cantor Fitzgerald"
"Abacus Life, Inc.",2024-06-20,$8.00,ABL,ADD-ON,"Piper Sandler, TD Securities, B. Riley Securities, KKR KKR"
Gauzy Ltd.,2024-06-05,$17.00,GAUZ,IPO,"Barclays, TD Cowen, Stifel, B. Riley Securities, Beech Hill Securities Barclays"
Fidelis Insurance Holdings Limited,2024-05-22,$16.00,FIHL,ADD-ON,"Barclays, JP Morgan, Goldman Sachs Evercore ISI"
"Kayne Anderson BDC, Inc.",2024-05-21,$16.63,KBDC,IPO,"Morgan Stanley, BofA Merrill Lynch, Wells Fargo, RBC Capital Markets, UBS, Stifel UBS"
Kenvue Inc.,2024-05-14,$20.00,KVUE,ADD-ON,"Goldman Sachs, JP Morgan, BofA Merrill Lynch Goldman Sachs"
ZEEKR Intelligent Technology Holding Limited,2024-05-09,$21.00,ZK,IPO,"Goldman Sachs, BofA Merrill Lynch, Morgan Stanley, CICC Santander"
"Silvaco Group, Inc.",2024-05-08,$19.00,SVCO,IPO,"Jefferies, TD Cowen Jefferies"
"Rubrik, Inc",2024-04-24,$32.00,RBRK,IPO,"Goldman Sachs, Guggenheim Securities, KeyBanc, Capital One Securities, Mizuho Securities, Barclays, Truist Securites, Cantor, Wedbush PacGrow, Citigroup, BMO Capital Markets, Deutsche Bank, CIBC, SMBC Nikko Truist Securities"
"PACS Group, Inc.",2024-04-10,$21.00,PACS,IPO,"Citigroup, JP Morgan, Truist Securites, RBC Capital Markets, Goldman Sachs, Stephens, KeyBanc, Oppenheimer & Co, Regions Securities Truist Securities"
Auna S.A.,2024-03-21,$12.00,AUNA,IPO,"Morgan Stanley, JP Morgan BTG Pactual, Santander Santander"
"Reddit, Inc.",2024-03-20,$34.00,RDDT,IPO,"Morgan Stanley, Goldman Sachs, JP Morgan, BofA Merill Lynch Morgan Stanley"
"Viking Therapeutics, Inc.",2024-02-28,$85.00,VKTX,ADD-ON,"William Blair, Raymond James Truist Securities"
"Kratos Defense & Security Solutions, Inc.",2024-02-22,$18.00,KTOS,ADD-ON,"Barid, RBC Capital Markets, Truist Securities, B. Riley Securities, Raymond James Truist Securities"
"American Healthcare REIT, Inc.",2024-02-06,$12.00,AHR,IPO,"BofA Securities, Morgan Stanley, KeyBanc, Citigroup, RBC Capital Markets, Barclays, Truist Securities Truist Securities"
